time_s,primitive,stage,tool_geometry,angle_deg,tip_x_m,tip_y_m,tip_z_m,gap_mm,contact_count,contact_force_n
0.002,micro_compression,APPROACH,flat,15.0,0.5544994780317355,-1.1019400769806009e-32,0.2845024294875893,60.502429487589296,0,0.0
0.004,micro_compression,APPROACH,flat,15.0,0.5544994780317073,2.0676310143984812e-16,0.28450242948757665,60.50242948757664,0,0.0
0.006,micro_compression,APPROACH,flat,15.0,0.5544994753255635,2.3468650883522246e-11,0.2845024282476114,60.5024282476114,0,0.0
0.008,micro_compression,APPROACH,flat,15.0,0.5544994631309633,1.239390004507946e-10,0.2845024223784104,60.50242237841039,0,0.0
0.01,micro_compression,APPROACH,flat,15.0,0.5544994349474397,3.417845869501374e-10,0.28450240799025106,60.50240799025106,0,0.0
0.012,micro_compression,APPROACH,flat,15.0,0.5544993862370381,6.950044302382604e-10,0.2845023816570479,60.502381657047884,0,0.0
0.014,micro_compression,APPROACH,flat,15.0,0.5544993117661599,1.2075805275242593e-09,0.28450233950618553,60.50233950618553,0,0.0
0.016,micro_compression,APPROACH,flat,15.0,0.5544992065381507,1.8984258572099833e-09,0.28450227759518193,60.50227759518192,0,0.0
0.018000000000000002,micro_compression,APPROACH,flat,15.0,0.554499065336688,2.7856965594870446e-09,0.28450219176927105,60.50219176927104,0,0.0
0.020000000000000004,micro_compression,APPROACH,flat,15.0,0.5544988808329503,3.902688021546915e-09,0.2845020767963943,60.50207679639427,0,0.0
0.022000000000000006,micro_compression,APPROACH,flat,15.0,0.5544986445678689,5.285517019374248e-09,0.2845019266236856,60.50192662368561,0,0.0
0.024000000000000007,micro_compression,APPROACH,flat,15.0,0.5544983534962098,6.916444961765277e-09,0.28450173733755924,60.50173733755923,0,0.0
0.02600000000000001,micro_compression,APPROACH,flat,15.0,0.5544980035013443,8.792818120511073e-09,0.2845015048414501,60.501504841450085,0,0.0
0.02800000000000001,micro_compression,APPROACH,flat,15.0,0.5544975908557785,1.0908117168165608e-08,0.28450122532201316,60.501225322013156,0,0.0
0.030000000000000013,micro_compression,APPROACH,flat,15.0,0.5544971050898333,1.331390150292903e-08,0.2845008919979749,60.5008919979749,0,0.0
0.032000000000000015,micro_compression,APPROACH,flat,15.0,0.5544965448969886,1.5968536972915503e-08,0.2845005016774975,60.50050167749752,0,0.0
0.034000000000000016,micro_compression,APPROACH,flat,15.0,0.5544959107832435,1.88253288931743e-08,0.2845000525125372,60.50005251253718,0,0.0
0.03600000000000002,micro_compression,APPROACH,flat,15.0,0.5544951968789348,2.1901283868435855e-08,0.28449954028639834,60.49954028639834,0,0.0
0.03800000000000002,micro_compression,APPROACH,flat,15.0,0.5544944035435929,2.5151017184098753e-08,0.28449896338396924,60.49896338396923,0,0.0
0.04000000000000002,micro_compression,APPROACH,flat,15.0,0.5544935227430715,2.861041291035046e-08,0.2844983168220842,60.498316822084206,0,0.0
0.04200000000000002,micro_compression,APPROACH,flat,15.0,0.5544925472892334,3.2296586603632916e-08,0.28449759547994735,60.49759547994735,0,0.0
0.044000000000000025,micro_compression,APPROACH,flat,15.0,0.5544914784623152,3.6149645081061105e-08,0.2844967978315023,60.49679783150228,0,0.0
0.04600000000000003,micro_compression,APPROACH,flat,15.0,0.5544903078464631,4.020866614205627e-08,0.28449591857391193,60.49591857391193,0,0.0
0.04800000000000003,micro_compression,APPROACH,flat,15.0,0.5544890312824382,4.446417230459942e-08,0.28449495382390794,60.494953823907935,0,0.0
0.05000000000000003,micro_compression,APPROACH,flat,15.0,0.5544876433478857,4.892011702559526e-08,0.28449389918675183,60.493899186751825,0,0.0
0.05200000000000003,micro_compression,APPROACH,flat,15.0,0.5544861392519415,5.357380289759053e-08,0.28449275046788625,60.49275046788624,0,0.0
0.054000000000000034,micro_compression,APPROACH,flat,15.0,0.5544845155776492,5.841102449268802e-08,0.2844915041026072,60.4915041026072,0,0.0
0.056000000000000036,micro_compression,APPROACH,flat,15.0,0.5544827677660513,6.34301579620648e-08,0.2844901561447697,60.490156144769685,0,0.0
0.05800000000000004,micro_compression,APPROACH,flat,15.0,0.5544808921796998,6.862056432743075e-08,0.28448870305503116,60.48870305503115,0,0.0
0.06000000000000004,micro_compression,APPROACH,flat,15.0,0.5544788962298045,7.38770835206158e-08,0.28448714644385986,60.48714644385986,0,0.0
0.06200000000000004,micro_compression,APPROACH,flat,15.0,0.5544767680859772,7.928377640004962e-08,0.2844854803210252,60.485480321025214,0,0.0
0.06400000000000004,micro_compression,APPROACH,flat,15.0,0.5544745016311315,8.484939973683992e-08,0.28448370020048397,60.483700200483966,0,0.0
0.06600000000000004,micro_compression,APPROACH,flat,15.0,0.5544720946268831,9.054830513748806e-08,0.28448180318087257,60.48180318087257,0,0.0
0.06800000000000005,micro_compression,APPROACH,flat,15.0,0.5544695427930322,9.638028656218335e-08,0.28447978567425847,60.479785674258466,0,0.0
0.07000000000000005,micro_compression,APPROACH,flat,15.0,0.5544668450929732,1.0231658420018561e-07,0.28447764553980914,60.47764553980914,0,0.0
0.07200000000000005,micro_compression,APPROACH,flat,15.0,0.5544640014567567,1.0832597378056702e-07,0.2844753813915485,60.47538139154848,0,0.0
0.07400000000000005,micro_compression,APPROACH,flat,15.0,0.554461011533037,1.1438465253551084e-07,0.2844729920431713,60.472992043171274,0,0.0
0.07600000000000005,micro_compression,APPROACH,flat,15.0,0.5544578664572192,1.2054505798873388e-07,0.2844704726256674,60.47047262566738,0,0.0
0.07800000000000006,micro_compression,APPROACH,flat,15.0,0.5544545709547587,1.2672720567309618e-07,0.28446782377698643,60.46782377698642,0,0.0
0.08000000000000006,micro_compression,APPROACH,flat,15.0,0.5544511142384486,1.3300560677771277e-07,0.2844650399260894,60.465039926089396,0,0.0
0.08200000000000006,micro_compression,APPROACH,flat,15.0,0.5544474978077731,1.3932838073829077e-07,0.28446212015849803,60.46212015849803,0,0.0
0.08400000000000006,micro_compression,APPROACH,flat,15.0,0.5544437166634185,1.457142605576286e-07,0.28445906116692,60.45906116691999,0,0.0
0.08600000000000006,micro_compression,APPROACH,flat,15.0,0.5544397710170138,1.5213141485189033e-07,0.2844558617659006,60.45586176590059,0,0.0
0.08800000000000006,micro_compression,APPROACH,flat,15.0,0.554435628794534,1.5883542150617098e-07,0.28445250633865016,60.45250633865015,0,0.0
0.09000000000000007,micro_compression,APPROACH,flat,15.0,0.5544312929411582,1.6571901048079553e-07,0.2844489922067547,60.448992206754674,0,0.0
0.09200000000000007,micro_compression,APPROACH,flat,15.0,0.554426752660784,1.7283195397882385e-07,0.2844453117853751,60.445311785375075,0,0.0
0.09400000000000007,micro_compression,APPROACH,flat,15.0,0.5544219859556215,1.8031108117767017e-07,0.28444145188236036,60.44145188236036,0,0.0
0.09600000000000007,micro_compression,APPROACH,flat,15.0,0.5544170134866016,1.878936744857299e-07,0.2844374173395259,60.43741733952587,0,0.0
0.09800000000000007,micro_compression,APPROACH,flat,15.0,0.5544118401352796,1.955203348362375e-07,0.28443320910709147,60.433209107091464,0,0.0
0.10000000000000007,micro_compression,APPROACH,flat,15.0,0.5544064718746252,2.0312316218824888e-07,0.28442882939516145,60.42882939516145,0,0.0
0.10200000000000008,micro_compression,APPROACH,flat,15.0,0.5544009065130129,2.1070842006096564e-07,0.2844242774011834,60.42427740118342,0,0.0
0.10400000000000008,micro_compression,APPROACH,flat,15.0,0.5543951474997165,2.1822254473670889e-07,0.2844195546194081,60.419554619408096,0,0.0
0.10600000000000008,micro_compression,APPROACH,flat,15.0,0.5543891944843387,2.2565385681125178e-07,0.2844146612067047,60.414661206704714,0,0.0
0.10800000000000008,micro_compression,APPROACH,flat,15.0,0.5543830414403834,2.3303969356907593e-07,0.2844095946210654,60.4095946210654,0,0.0
0.11000000000000008,micro_compression,APPROACH,flat,15.0,0.5543767037847049,2.4022223799994217e-07,0.28440436148363124,60.404361483631234,0,0.0
0.11200000000000009,micro_compression,APPROACH,flat,15.0,0.5543701708766078,2.473083589009678e-07,0.28439895823774175,60.398958237741745,0,0.0
0.11400000000000009,micro_compression,APPROACH,flat,15.0,0.5543634377298994,2.543255296486718e-07,0.2843933824710408,60.39338247104079,0,0.0
0.11600000000000009,micro_compression,APPROACH,flat,15.0,0.5543565104153138,2.612024154533571e-07,0.28438763639836784,60.38763639836783,0,0.0
0.11800000000000009,micro_compression,APPROACH,flat,15.0,0.5543493622756547,2.681724588689857e-07,0.2843817080653439,60.3817080653439,0,0.0
0.12000000000000009,micro_compression,APPROACH,flat,15.0,0.5543420223800413,2.7493203369572613e-07,0.2843756082019399,60.375608201939905,0,0.0
0.1220000000000001,micro_compression,APPROACH,flat,15.0,0.5543344710795038,2.8168109520509793e-07,0.28436932898320744,60.36932898320743,0,0.0
0.1240000000000001,micro_compression,APPROACH,flat,15.0,0.5543267122134916,2.8836044772634065e-07,0.2843628709487433,60.36287094874329,0,0.0
0.12600000000000008,micro_compression,APPROACH,flat,15.0,0.5543187412488073,2.950012748746911e-07,0.2843562315666771,60.3562315666771,0,0.0
0.12800000000000009,micro_compression,APPROACH,flat,15.0,0.554310558677389,3.015841796565584e-07,0.2843494102593258,60.3494102593258,0,0.0
0.1300000000000001,micro_compression,APPROACH,flat,15.0,0.5543021551892543,3.081805353308944e-07,0.2843424022398866,60.3424022398866,0,0.0
0.1320000000000001,micro_compression,APPROACH,flat,15.0,0.5542935472855544,3.146213407573921e-07,0.2843352137109101,60.33521371091008,0,0.0
0.1340000000000001,micro_compression,APPROACH,flat,15.0,0.5542847307665388,3.209589006130654e-07,0.28432784348962037,60.32784348962036,0,0.0
0.1360000000000001,micro_compression,APPROACH,flat,15.0,0.554275712368064,3.271311429191776e-07,0.28432029475229564,60.32029475229564,0,0.0
0.1380000000000001,micro_compression,APPROACH,flat,15.0,0.5542664641349757,3.333893320643361e-07,0.2843125555069209,60.31255550692091,0,0.0
0.1400000000000001,micro_compression,APPROACH,flat,15.0,0.5542569861244592,3.3968178603097314e-07,0.2843046234840028,60.30462348400281,0,0.0
0.1420000000000001,micro_compression,APPROACH,flat,15.0,0.5542472744585191,3.460158325177826e-07,0.284296495282636,60.296495282636,0,0.0
0.1440000000000001,micro_compression,APPROACH,flat,15.0,0.5542373535506593,3.5215658737960396e-07,0.28428818046432747,60.28818046432746,0,0.0
0.1460000000000001,micro_compression,APPROACH,flat,15.0,0.5542272135117167,3.582211431578402e-07,0.2842796758506574,60.279675850657384,0,0.0
0.1480000000000001,micro_compression,APPROACH,flat,15.0,0.5542168522914268,3.6421849817301973e-07,0.2842709804357646,60.27098043576459,0,0.0
0.1500000000000001,micro_compression,APPROACH,flat,15.0,0.5542062676234641,3.701563160997159e-07,0.284262092958499,60.26209295849902,0,0.0
0.1520000000000001,micro_compression,APPROACH,flat,15.0,0.5541954581049168,3.7603453909167397e-07,0.28425301240549083,60.25301240549083,0,0.0
0.1540000000000001,micro_compression,APPROACH,flat,15.0,0.5541844183840443,3.8188921108894967e-07,0.28424373593371416,60.243735933714156,0,0.0
0.1560000000000001,micro_compression,APPROACH,flat,15.0,0.5541731603817579,3.875996146258631e-07,0.2842342681655516,60.23426816555158,0,0.0
0.1580000000000001,micro_compression,APPROACH,flat,15.0,0.5541616954525557,3.9307991154890506e-07,0.28422461494094997,60.22461494094997,0,0.0
0.16000000000000011,micro_compression,APPROACH,flat,15.0,0.5541499916873366,3.9863347994449275e-07,0.2842147633289538,60.21476332895379,0,0.0
0.16200000000000012,micro_compression,APPROACH,flat,15.0,0.5541380731925964,4.040013316247542e-07,0.2842047222750636,60.2047222750636,0,0.0
0.16400000000000012,micro_compression,APPROACH,flat,15.0,0.5541259296873912,4.092952125801499e-07,0.2841944881311019,60.19448813110187,0,0.0
0.16600000000000012,micro_compression,APPROACH,flat,15.0,0.5541135879190293,4.1427451322465503e-07,0.2841840728143537,60.1840728143537,0,0.0
0.16800000000000012,micro_compression,APPROACH,flat,15.0,0.5541010269747711,4.191683793480388e-07,0.2841734693561748,60.17346935617482,0,0.0
0.17000000000000012,micro_compression,APPROACH,flat,15.0,0.554088274628228,4.2372003404780167e-07,0.28416269018585594,60.16269018585593,0,0.0
0.17200000000000013,micro_compression,APPROACH,flat,15.0,0.5540753068342956,4.281871735292292e-07,0.28415172708295144,60.15172708295144,0,0.0
0.17400000000000013,micro_compression,APPROACH,flat,15.0,0.5540621005543754,4.327516616350919e-07,0.2841405690741989,60.14056907419887,0,0.0
0.17600000000000013,micro_compression,APPROACH,flat,15.0,0.5540486723084542,4.3722114628921196e-07,0.28412922107059446,60.129221070594454,0,0.0
0.17800000000000013,micro_compression,APPROACH,flat,15.0,0.554035013810659,4.416793551139492e-07,0.284117679111035,60.117679111035024,0,0.0
0.18000000000000013,micro_compression,APPROACH,flat,15.0,0.5540211609827307,4.458051266280358e-07,0.28410595858764276,60.10595858764275,0,0.0
0.18200000000000013,micro_compression,APPROACH,flat,15.0,0.554007078054697,4.4997289330993905e-07,0.28409404615415534,60.094046154155336,0,0.0
0.18400000000000014,micro_compression,APPROACH,flat,15.0,0.5539927245880409,4.544948921072878e-07,0.28408192180567343,60.081921805673424,0,0.0
0.18600000000000014,micro_compression,APPROACH,flat,15.0,0.5539781430613929,4.589047673225407e-07,0.2840695996980857,60.0695996980857,0,0.0
0.18800000000000014,micro_compression,APPROACH,flat,15.0,0.5539633177609119,4.6337238393833644e-07,0.28405707325184226,60.057073251842255,0,0.0
0.19000000000000014,micro_compression,APPROACH,flat,15.0,0.5539482896780951,4.675231388081049e-07,0.2840443598992758,60.04435989927578,0,0.0
0.19200000000000014,micro_compression,APPROACH,flat,15.0,0.5539330189572224,4.7176680748629036e-07,0.2840314447666987,60.03144476669872,0,0.0
0.19400000000000014,micro_compression,APPROACH,flat,15.0,0.553917367548943,4.772508682410795e-07,0.284018263113538,60.018263113538,0,0.0
0.19600000000000015,micro_compression,APPROACH,flat,15.0,0.5539014153106622,4.829847462066379e-07,0.2840048358898961,60.00483588989611,0,0.0
0.19800000000000015,micro_compression,APPROACH,flat,15.0,0.5538851954690389,4.886808097761854e-07,0.2839911752590541,59.99117525905409,0,0.0
0.20000000000000015,micro_compression,APPROACH,flat,15.0,0.5538687152420545,4.943232760128802e-07,0.28397728548647716,59.97728548647716,0,0.0
0.20200000000000015,micro_compression,APPROACH,flat,15.0,0.5538519774079954,4.999007007525749e-07,0.28396316917113423,59.963169171134226,0,0.0
0.20400000000000015,micro_compression,APPROACH,flat,15.0,0.5538350037260261,5.052171779390941e-07,0.2839488375033798,59.948837503379785,0,0.0
0.20600000000000016,micro_compression,APPROACH,flat,15.0,0.5538177837506362,5.103911246875205e-07,0.2839342889469577,59.93428894695771,0,0.0
0.20800000000000016,micro_compression,APPROACH,flat,15.0,0.553800341970094,5.15198283419221e-07,0.28391953600473546,59.919536004735455,0,0.0
0.21000000000000016,micro_compression,APPROACH,flat,15.0,0.5537826617481947,5.198248033192222e-07,0.2839045747065594,59.90457470655938,0,0.0
0.21200000000000016,micro_compression,APPROACH,flat,15.0,0.5537647544020117,5.24164542275167e-07,0.2838894112036394,59.88941120363941,0,0.0
0.21400000000000016,micro_compression,APPROACH,flat,15.0,0.5537466254789664,5.281939211184347e-07,0.2838740500378344,59.87405003783439,0,0.0
0.21600000000000016,micro_compression,APPROACH,flat,15.0,0.5537282391945803,5.3225472507934e-07,0.28385847701042477,59.858477010424764,0,0.0
0.21800000000000017,micro_compression,APPROACH,flat,15.0,0.5537095984164402,5.362761621146335e-07,0.28384269134141693,59.84269134141692,0,0.0
0.22000000000000017,micro_compression,APPROACH,flat,15.0,0.5536907328302908,5.399914139319954e-07,0.2838267054239333,59.826705423933284,0,0.0
0.22200000000000017,micro_compression,APPROACH,flat,15.0,0.5536716136678833,5.437090749730105e-07,0.28381050839756927,59.810508397569265,0,0.0
0.22400000000000017,micro_compression,APPROACH,flat,15.0,0.5536522712531929,5.471417167638141e-07,0.28379411273398913,59.79411273398913,0,0.0
0.22600000000000017,micro_compression,APPROACH,flat,15.0,0.5536326811110577,5.505516248597348e-07,0.28377750950602787,59.77750950602786,0,0.0
0.22800000000000017,micro_compression,APPROACH,flat,15.0,0.5536128627471051,5.537497012754788e-07,0.28376070669338543,59.76070669338543,0,0.0
0.23000000000000018,micro_compression,APPROACH,flat,15.0,0.5535928063613613,5.568524661193354e-07,0.28374370125896675,59.743701258966745,0,0.0
0.23200000000000018,micro_compression,APPROACH,flat,15.0,0.553572546778897,5.595577411242068e-07,0.2837265091073413,59.726509107341315,0,0.0
0.23400000000000018,micro_compression,APPROACH,flat,15.0,0.5535520532217331,5.622043695166276e-07,0.2837091199151822,59.709119915182214,0,0.0
0.23600000000000018,micro_compression,APPROACH,flat,15.0,0.5535313179811995,5.648394732307297e-07,0.2836915297067505,59.69152970675049,0,0.0
0.23800000000000018,micro_compression,APPROACH,flat,15.0,0.5535103477771675,5.673858111377224e-07,0.28367374050459665,59.673740504596644,0,0.0
0.24000000000000019,micro_compression,APPROACH,flat,15.0,0.5534891417154547,5.698608791027511e-07,0.28365575188046754,59.65575188046754,0,0.0
0.2420000000000002,micro_compression,APPROACH,flat,15.0,0.5534677216303112,5.720816739914426e-07,0.283637573671118,59.63757367111802,0,0.0
0.2440000000000002,micro_compression,APPROACH,flat,15.0,0.5534460958818762,5.740235815570638e-07,0.2836192118879617,59.61921188796168,0,0.0
0.2460000000000002,micro_compression,APPROACH,flat,15.0,0.5534242744138392,5.75642882269715e-07,0.28360067354913354,59.60067354913354,0,0.0
0.2480000000000002,micro_compression,APPROACH,flat,15.0,0.5534022292723159,5.772273618615377e-07,0.28358194884984733,59.58194884984733,0,0.0
0.25000000000000017,micro_compression,APPROACH,flat,15.0,0.5533798941347674,5.793278774282145e-07,0.2835630069326991,59.56300693269909,0,0.0
0.25200000000000017,micro_compression,APPROACH,flat,15.0,0.5533573075561659,5.81475748731828e-07,0.2835438580619981,59.54385806199811,0,0.0
0.25400000000000017,micro_compression,APPROACH,flat,15.0,0.5533344549451105,5.838112321847545e-07,0.28352449433086685,59.524494330866844,0,0.0
0.25600000000000017,micro_compression,APPROACH,flat,15.0,0.5533113855346572,5.858822243138836e-07,0.2835049355668908,59.50493556689082,0,0.0
0.2580000000000002,micro_compression,APPROACH,flat,15.0,0.5532880720337453,5.880016965277228e-07,0.2834851725536544,59.4851725536544,0,0.0
0.2600000000000002,micro_compression,APPROACH,flat,15.0,0.5532645377545479,5.899440930360866e-07,0.2834652153381697,59.4652153381697,0,0.0
0.2620000000000002,micro_compression,APPROACH,flat,15.0,0.5532407701500682,5.918479762884445e-07,0.28344506029983385,59.44506029983385,0,0.0
