time_s,primitive,stage,tool_geometry,angle_deg,tip_x_m,tip_y_m,tip_z_m,gap_mm,contact_count,contact_force_n
0.002,inclined_insertion,APPROACH,flat,15.0,0.5544994780317355,-1.1019400769806009e-32,0.2845024294875893,60.502429487589296,0,0.0
0.004,inclined_insertion,APPROACH,flat,15.0,0.5544994780317217,3.5392257263962815e-16,0.2845024294875674,60.50242948756737,0,0.0
0.006,inclined_insertion,APPROACH,flat,15.0,0.554499476202648,3.7820127919420745e-11,0.28450242647909524,60.502426479095234,0,0.0
0.008,inclined_insertion,APPROACH,flat,15.0,0.5544994670038734,8.569062799582146e-11,0.2845024134268178,60.50241342681781,0,0.0
0.01,inclined_insertion,APPROACH,flat,15.0,0.5544994440760594,-7.2085250955036e-11,0.28450238533599614,60.50238533599614,0,0.0
0.012,inclined_insertion,APPROACH,flat,15.0,0.5544994003367095,-5.498411040587655e-10,0.28450233564673794,60.50233564673793,0,0.0
0.014,inclined_insertion,APPROACH,flat,15.0,0.5544993292244518,-1.5134116445209212e-09,0.28450225974125065,60.50225974125065,0,0.0
0.016,inclined_insertion,APPROACH,flat,15.0,0.5544992262758485,-3.0680875148736503e-09,0.28450215551131874,60.50215551131874,0,0.0
0.018000000000000002,inclined_insertion,APPROACH,flat,15.0,0.5544990843717418,-5.116920761041094e-09,0.28450201456498775,60.502014564987746,0,0.0
0.020000000000000004,inclined_insertion,APPROACH,flat,15.0,0.5544988971615781,-7.852101284271658e-09,0.28450183360995623,60.50183360995623,0,0.0
0.022000000000000006,inclined_insertion,APPROACH,flat,15.0,0.5544986606801638,-1.1303425328196266e-08,0.2845016108733379,60.50161087333791,0,0.0
0.024000000000000007,inclined_insertion,APPROACH,flat,15.0,0.5544983723619533,-1.5417816122036163e-08,0.28450134521909126,60.501345219091256,0,0.0
0.02600000000000001,inclined_insertion,APPROACH,flat,15.0,0.5544980270677354,-2.004625462353364e-08,0.28450103036794183,60.50103036794183,0,0.0
0.02800000000000001,inclined_insertion,APPROACH,flat,15.0,0.5544976158192191,-2.5206077676475037e-08,0.28450065698782406,60.50065698782406,0,0.0
0.030000000000000013,inclined_insertion,APPROACH,flat,15.0,0.5544971275920979,-3.105059652760952e-08,0.2845002153991469,60.50021539914688,0,0.0
0.032000000000000015,inclined_insertion,APPROACH,flat,15.0,0.5544965550118764,-3.783321130969273e-08,0.2844997030836641,60.499703083664116,0,0.0
0.034000000000000016,inclined_insertion,APPROACH,flat,15.0,0.5544958978446768,-4.559681708329215e-08,0.28449912475764494,60.499124757644935,0,0.0
0.03600000000000002,inclined_insertion,APPROACH,flat,15.0,0.5544951558822113,-5.398479368085801e-08,0.28449847897321434,60.49847897321434,0,0.0
0.03800000000000002,inclined_insertion,APPROACH,flat,15.0,0.5544943199132251,-6.271204864159877e-08,0.2844977519075079,60.49775190750792,0,0.0
0.04000000000000002,inclined_insertion,APPROACH,flat,15.0,0.5544933838438394,-7.220417466375935e-08,0.2844969439702223,60.49694397022229,0,0.0
0.04200000000000002,inclined_insertion,APPROACH,flat,15.0,0.5544923383321761,-8.222375857931972e-08,0.28449604298170084,60.49604298170083,0,0.0
0.044000000000000025,inclined_insertion,APPROACH,flat,15.0,0.5544911765187261,-9.308464088195946e-08,0.28449504757398786,60.495047573987854,0,0.0
0.04600000000000003,inclined_insertion,APPROACH,flat,15.0,0.5544898945017318,-1.0471259352598569e-07,0.2844939556950471,60.49395569504709,0,0.0
0.04800000000000003,inclined_insertion,APPROACH,flat,15.0,0.5544884843776272,-1.1691129545215836e-07,0.2844927576797115,60.49275767971149,0,0.0
0.05000000000000003,inclined_insertion,APPROACH,flat,15.0,0.554486941904249,-1.2992560891527704e-07,0.2844914548124591,60.491454812459075,0,0.0
0.05200000000000003,inclined_insertion,APPROACH,flat,15.0,0.554485265356726,-1.4358201479243868e-07,0.28449004634226227,60.49004634226227,0,0.0
0.054000000000000034,inclined_insertion,APPROACH,flat,15.0,0.5544834580911301,-1.5784393941964303e-07,0.2844885395501864,60.488539550186374,0,0.0
0.056000000000000036,inclined_insertion,APPROACH,flat,15.0,0.5544815135253262,-1.7211179741890677e-07,0.2844869196461838,60.48691964618377,0,0.0
0.05800000000000004,inclined_insertion,APPROACH,flat,15.0,0.5544794206519374,-1.8671784585147395e-07,0.28448517806348744,60.48517806348744,0,0.0
0.06000000000000004,inclined_insertion,APPROACH,flat,15.0,0.5544771739140487,-2.019559730921719e-07,0.2844833146490561,60.48331464905607,0,0.0
0.06200000000000004,inclined_insertion,APPROACH,flat,15.0,0.5544747805111826,-2.179320937684037e-07,0.2844813444066243,60.48134440662431,0,0.0
0.06400000000000004,inclined_insertion,APPROACH,flat,15.0,0.5544722408004824,-2.3382487229389203e-07,0.28447925902569837,60.47925902569837,0,0.0
0.06600000000000004,inclined_insertion,APPROACH,flat,15.0,0.5544695453612273,-2.496468675599477e-07,0.28447704665953844,60.47704665953843,0,0.0
0.06800000000000005,inclined_insertion,APPROACH,flat,15.0,0.5544666875607461,-2.6580843727009717e-07,0.2844747058434428,60.474705843442806,0,0.0
0.07000000000000005,inclined_insertion,APPROACH,flat,15.0,0.5544636606503741,-2.822462007807641e-07,0.2844722294708005,60.47222947080047,0,0.0
0.07200000000000005,inclined_insertion,APPROACH,flat,15.0,0.5544604600382241,-2.991240763430158e-07,0.2844696164463568,60.46961644635682,0,0.0
0.07400000000000005,inclined_insertion,APPROACH,flat,15.0,0.5544570815677063,-3.163504243334656e-07,0.28446686296208035,60.46686296208034,0,0.0
0.07600000000000005,inclined_insertion,APPROACH,flat,15.0,0.5544535274961252,-3.340554419517517e-07,0.2844639766932623,60.46397669326228,0,0.0
0.07800000000000006,inclined_insertion,APPROACH,flat,15.0,0.5544497928526927,-3.516931082584587e-07,0.28446094573614444,60.46094573614444,0,0.0
0.08000000000000006,inclined_insertion,APPROACH,flat,15.0,0.5544458655341762,-3.6944361577169264e-07,0.2844577577350244,60.4577577350244,0,0.0
0.08200000000000006,inclined_insertion,APPROACH,flat,15.0,0.5544417367013821,-3.877032802286837e-07,0.28445440912896364,60.45440912896363,0,0.0
0.08400000000000006,inclined_insertion,APPROACH,flat,15.0,0.554437389932664,-4.06281250737164e-07,0.28445087891584003,60.45087891584003,0,0.0
0.08600000000000006,inclined_insertion,APPROACH,flat,15.0,0.5544328222941943,-4.2601164986967974e-07,0.2844471790459805,60.447179045980484,0,0.0
0.08800000000000006,inclined_insertion,APPROACH,flat,15.0,0.5544280284536447,-4.461927590557036e-07,0.2844432979214879,60.44329792148792,0,0.0
0.09000000000000007,inclined_insertion,APPROACH,flat,15.0,0.5544230001909638,-4.6697081498069755e-07,0.2844392300068679,60.43923000686788,0,0.0
0.09200000000000007,inclined_insertion,APPROACH,flat,15.0,0.5544177368209864,-4.885100804845578e-07,0.2844349808979657,60.4349808979657,0,0.0
0.09400000000000007,inclined_insertion,APPROACH,flat,15.0,0.5544122505406301,-5.10685035874209e-07,0.2844305693769255,60.43056937692551,0,0.0
0.09600000000000007,inclined_insertion,APPROACH,flat,15.0,0.554406549480467,-5.326020918521662e-07,0.28442599610979424,60.42599610979424,0,0.0
0.09800000000000007,inclined_insertion,APPROACH,flat,15.0,0.5544006332621925,-5.540178288040387e-07,0.28442125678557156,60.42125678557156,0,0.0
0.10000000000000007,inclined_insertion,APPROACH,flat,15.0,0.5543944812232814,-5.74671917739671e-07,0.2844163194026075,60.41631940260747,0,0.0
0.10200000000000008,inclined_insertion,APPROACH,flat,15.0,0.5543880777021437,-5.957756745403725e-07,0.28441118085453576,60.41118085453576,0,0.0
0.10400000000000008,inclined_insertion,APPROACH,flat,15.0,0.5543814202231337,-6.175703545372592e-07,0.28440584581734274,60.40584581734274,0,0.0
0.10600000000000008,inclined_insertion,APPROACH,flat,15.0,0.5543745074932707,-6.397161025731968e-07,0.28440031196877213,60.40031196877213,0,0.0
0.10800000000000008,inclined_insertion,APPROACH,flat,15.0,0.55436734786904,-6.623337454365296e-07,0.28439459517811316,60.39459517811316,0,0.0
0.11000000000000008,inclined_insertion,APPROACH,flat,15.0,0.5543599414792305,-6.845722725958523e-07,0.28438868575600806,60.38868575600806,0,0.0
0.11200000000000009,inclined_insertion,APPROACH,flat,15.0,0.5543523029598356,-7.070218943186817e-07,0.2843826119809115,60.38261198091152,0,0.0
0.11400000000000009,inclined_insertion,APPROACH,flat,15.0,0.5543444559827573,-7.288463080689891e-07,0.2843763945577872,60.37639455778718,0,0.0
0.11600000000000009,inclined_insertion,APPROACH,flat,15.0,0.5543364008486658,-7.488992785192338e-07,0.28437001449588,60.37001449588001,0,0.0
0.11800000000000009,inclined_insertion,APPROACH,flat,15.0,0.5543281213280042,-7.676902646670563e-07,0.28436345222774273,60.36345222774273,0,0.0
0.12000000000000009,inclined_insertion,APPROACH,flat,15.0,0.554319605098246,-7.861174022874235e-07,0.28435670237369653,60.35670237369653,0,0.0
0.1220000000000001,inclined_insertion,APPROACH,flat,15.0,0.5543108648131786,-8.04882337491999e-07,0.28434979337291855,60.34979337291854,0,0.0
0.1240000000000001,inclined_insertion,APPROACH,flat,15.0,0.5543019167007139,-8.229991611439759e-07,0.28434273445085506,60.342734450855055,0,0.0
